# ----------------------------------------
# 報表數據匯報
# 帳戶：HsiungShao
# 資源：MultiStream Hub relese
# ----------------------------------------
#  
0030,630,178,6
0031,655,208,42
0032,644,158,23
0033,634,112,11
0034,632,90,15
0035,632,91,12
0036,629,84,11
0037,617,87,12
0038,534,71,14
0039,484,56,0

#  
# 開始日期：20251206
# 結束日期：20260114
語言,活躍使用者
Chinese,519
English,181
Japanese,3
Indonesian,2

#  
# 開始日期：20251206
# 結束日期：20260114
螢幕解析度,活躍使用者
1920x1080,181
800x600,111
2560x1440,105
1536x864,33
393x852,25
430x932,17
2048x1152,16
414x896,16
1600x1200,13
393x873,12
360x780,11
390x844,11
375x812,10
412x892,9
412x915,9
1680x1050,8
1024x1024,7
384x832,7
402x874,7
1280x720,6
376x835,6
1080x1920,5
2195x1235,5
3440x1440,5
1728x1117,4
2000x2000,4
360x800,4
428x926,4
5120x1440,4
1440x900,3
1685x948,3
362x795,3
424x945,3
440x956,3
834x1194,3
1280x1024,2
1348x758,2
1366x768,2
1477x831,2
1478x831,2
1536x960,2
1639x922,2
1707x961,2
1708x960,2
1710x1107,2
2179x912,2
2276x1280,2
2304x1296,2
2949x1658,2
3072x1728,2
339x727,2
360x802,2
367x814,2
375x667,2
412x4099,2
412x823,2
417x932,2
420x934,2
448x998,2
528x1174,2
810x1080,2
820x1180,2
1024x898,1
1205x753,1
1229x692,1
1280x800,1
1334x750,1
1440x2561,1
1707x960,1
1797x1011,1
1847x1039,1
2049x1153,1
2328x1310,1
320x694,1
360x740,1
360x772,1
3840x2160,1
384x854,1
780x360,1
780x4099,1
832x384,1

# 您的新使用者來自何處？
# 開始日期：20251206
# 結束日期：20260114
最初招攬到使用者的主要管道群組 (預設管道群組),新使用者人數
Direct,391
Referral,237
Organic Search,17
Organic Social,14
Unassigned,5
